"product_id","module_patterns","dynamic_scope","saved_record","source_pages","pricing_status","production_proof","remaining_classification"
"citylights_aluminum","norman-citylights|norman-family-rules.ts|norman-assemblies.ts|rules.ts","Slat/finish/privacy compatibility; measured mounting depth/fit; wand drop; bracket method; shims/hold-downs; matching group and per-blind widths","options_json.citylights_*; mount_depth_inches; citylights_matching_v1; server hardware/assembly snapshots","CityLights Guide pp4,7–10,15–19; matching p17","Documented normal branches priced; half-inch availability held","805-0323; RESULTS.md live table; total863.50","External: half-inch current availability, account factors/fees. Verification: exhaustive cross-product combinations. No missing dynamic control confirmed in this review."
"faux_wood","norman-ultimate-|norman-family-rules.ts|norman-assemblies.ts|rules.ts","1/3 independent blind widths; wand, recess, shim and bracket controls; valance custom width/returns; keystone count/custom positions; measured left/right corner or middle cut-outs; common/matching groups","options_json.ultimate_*; faux_blind_*; ultimate_common_valance_v1; ultimate_matching_v1; server component hardware","Ultimate Faux Guide pp6–15; common pp7,11,12,14; matching p13; cut-outs p15","Normal source-backed branches priced; common/custom width and multiple-keystone price basis held","805-0321,0322; RESULTS.md total363.65/727.30","Implementation: standalone valance destination absent (Guide p11 explicitly permits valance-only orders with max384-inch inner length). External: standalone account price; common/custom charge basis; >1 keystone charges; final inside grid cell."
"honeycomb","norman-honeycomb-|honeycomb-|norman-family-rules.ts|norman-assemblies.ts|rules.ts","Fabric/cell/lift/application matrix; separate rear fabric/cell; specialty NET dimensions and confirmations; measured mount fit/depth; guard/holder and bracket hardware; poles/magnets; remote/network/panel and counted accessories; charging clearance","options_json honeycomb_* and specialty/net fields; norman_assembly_v1; server hardware/mounting records; motorization_selections","Honeycomb Guide pp6–10,36–38,45,47–49 and generated matrix page references; Motorization pp10–18,66–69,80–82","Normal supported standard and bounded specialty branches price; unresolved dual/specialty geometry remains held","805-0319;0343 mounting454;0345 charging1439;0347 specialty543; RESULTS/source-specific production JSON","Implementation review needed: remaining framed dual/Day & Night surcharge assembly versus guide exact rear/section dimensions. External: ambiguous charging minimum-height wording and dealer-account factors. Source-backed controls are implemented, export incomplete."
"vertical_honeycomb","norman-honeycomb-vertical|norman-vertical-pair|honeycomb-|norman-family-rules.ts|norman-assemblies.ts|rules.ts","Patio-door cell/fabric/application; left/right measured panels and split location; cut-out rail; predrilled/bracket installation/shims; Butt Together pair ID and side","options_json.vertical_*; vertical_honeycomb_pair_v1; norman_assembly_v1","Honeycomb Guide pp7,36–38,47,49","Documented standard and validated pair priced; unsupported combinations blocked","805-0319 vertical950;0344 Butt Together2647 with mismatched-height negative; RESULTS.md","Verification: full combination coverage; no new missing source-backed field found. Dealer factors/fees still external."
"roller","norman-roller-|roller-|NormanRoller|norman-family-rules.ts|norman-assemblies.ts|rules.ts","Single/dual/coupled/common application; all measured component widths/gaps/net/order bases; fabric matrix/tube/top treatment/power grouping; installation/shims/raceway; common membership/custom finished width/returns; shared18-motor panel","roller_hardware_v1; roller_common_choice_v1; derived roller_common_valance_v1; motorization_selections and norman_assembly_v1; component fields","Roller Guide pp19,33–41,53–58,74; min/max matrices retain row source; Motorization p75","Normal documented branches priced; shared-common price basis remains held","805-0346 hardware1332;0350 panel13121/19-motor negative;0349 common held; outputs/onyx-audit-20260920 roller proof docs","Implementation: common-valance maximum tube upgrade is currently a mismatch blocker, not automatic group sizing. External: common charge allocation/width, material roll-width authority, custom bracket formula rounding. Do not blanket enable."
"roman","norman-roman-|norman-family-rules.ts|norman-assemblies.ts|rules.ts","Current front/rear fabric identity; independent day/night lining and pattern; railroad/seam width rules; banding color; common left/right widths/motors; mounting/returns, custom chain; magnet/shim/pole total; shared panel and mixed adapter accessory allocations","options_json.roman_*; roman/common dimensions; norman_assembly_v1; motorization_selections; finished-size/matching hardware records","Roman Guide pp2,21,34,46,50 plus exact sourcePage per fabric limits; Motorization pp21,23; Retail pp26–27 absolute","Documented shade branches priced; account-specific costs not certified","805-0327–0331;0332;0336;0338; RESULTS.md A–H proof","No concrete missing shade input confirmed. Remaining dealer comparisons/exhaustive combinations are proof work. Ancillaries inventoried as separate destinations."
"perfectsheer","norman-perfectsheer-|norman-perfectsheer.ts|norman-valance-gaps|norman-family-rules.ts|norman-assemblies.ts|rules.ts","Tube diameter and valance height/finish/fabric; mount/install/guards/magnets; custom chains; custom/shared valance IDs/positions/gaps/return size/splice positions/At Gaps offset; matching; power/remotes/solar/charging extra counts","options_json.perfectsheer_*; perfectsheer_common_valance_v1; matching and norman_assembly_v1; motorization_selections","PS-SD Guide pp32–45, common/splice pp36–39, guards44–45; Motorization pp39,41,74,91","Family remains held; saved configurations validated; no universal price claim","805-0316 and0348 At Gaps persistence/negative checks; RESULTS.md","External: wood-bracket assignment; same-page keystone max3 vs5; common Light Guard charge scope; Automate kit identity. Implementation/proof: bounded eligible branch gating should be assessed separately; broad family hold is not evidence all rules absent."
"smartfold","norman-smartfold-|norman-valance-gaps|NormanSmartfold|norman-family-rules.ts|norman-assemblies.ts|rules.ts","Fold/style/finishes and motor/accessories; separate chain length; custom/common valance width/returns/gaps/splice positions/At Gaps offset; side-by-side groups; atomic charging counts; outside two clearances; inside Basic Light Guard recess/full assembly depth","options_json.smartfold_*; smartfold_charging_v1; smartfold_clearance_v1; norman_assembly_v1; common/matching and mounting records","SmartFold Guide pp2,5–8,14–16,19,21,23–24,26–34,37–38; Motorization pp57,94","Only September outside/no-valance/current fabric/Norman Smart rechargeable standard branch documented_limited. Other branches remain held","805-0342 total5023 incl once-only215;0348 At Gaps;0352 inside depth3.5 rejected vs3.52 minimum; smartfold-inside-light-guard-production-20260920.json (parent full reopen in progress at handoff)","Implemented latest inside clearance at snapshot. Source-conflict: custom bracket rounding and remaining roll diameter mapping. Implementation/proof: separately audit source-complete cordless outside and accessory branches before eligibility expansion. October remains date held."
"smartdrape","norman-smartdrape-|norman-smartdrape.ts|norman-family-rules.ts|norman-assemblies.ts|rules.ts","Stack/control/motor compatibility; pair ID/positions/center keystone; headrail and alternate vane colors; wand drop; installation and pocket depth/height; track joints/brackets/shims; attached vane packs/style; remote/network/charging quantities","options_json.smartdrape_* plus track/install fields; norman_assembly_v1; smartdrape pair/track/hardware records","PS-SD Guide pp6–7,17–24; Motorization pp50–51","Documented branches validate; exact source gaps and unverified extras held","805-0318 track190, motor/accessory and100/150 pair persistence; RESULTS.md","External numeric gaps: center-opening bracket94.25–94.5; motor pocket8.875–9; exact30gap; blankF2128–2130aliases. Cross-family motor-accessory allocation requires implementation review separate from these gaps."
"smartprivacy_faux","norman-smartprivacy|norman-family-rules.ts|norman-assemblies.ts|rules.ts","Measured1/3 independent blinds; six finish identities; wand and mount fit/depth; return sides/custom return length/custom single valance; shim layers; side support/method/hold-downs","options_json.smartprivacy_*; faux_blind_*; server independent-blind hardware record","SmartPrivacy Guide pp5–11; standalone availability p4","Normal branches priced; beyond-final-grid/standalone held","805-0320 total283.86; RESULTS.md","Implementation: standalone valance destination absent, Guide p10 explicitly permits max384-inch valance-only inner length; >96 splits equally, no custom splits/keystones. External: current standalone cost and final inside-width grid price. Common valances/cutouts unavailable; must not expose inherited options."
