product,program,price_group,rule_status,grid_rows,matched_rows,source,status,exception
citylights_aluminum,citylights_aluminum_1in_slats_cordless_pgusa,USA,restriction_source_incomplete,10,10,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"All 52 current color/slat routes, mounting, wands, hardware and multi-line matching are implemented. Two dealer samples match source retail with observed .30 factor; production save/reopen/customer preview passed at $863.50. Half-inch slat availability, account factor applicability, exhaustive combination coverage and fees remain exceptions."
faux_wood,faux_wood_2in_and_2_1_2in_slats_cordless,,documented_limited,12,12,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"Sixteen source finishes/both slat sizes, mounting, wand, hardware, measured cut-outs and single-keystone rules deployed. Common/matching order records and pair production persistence passed. Common/custom valance charge-width basis, multiple-keystone charge basis, standalone valances, final inside-width grid boundary and current dealer/production comparison remain."
honeycomb,honeycomb_9_16in_cordless_single_cell,,documented_limited,14,14,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"SmartFit Dual and horizontal hardware passed production price/save/reopen/customer-preview checks. Motor accessories also passed production price/save/reopen/customer-preview checks. Horizontal Day & Night pricing and framed-dual per-shade price basis remain unresolved. Source mounting tables and charging-access rules are deployed; manual mounting production proof passed. Specialty net geometry is deployed; charging0345 ($1,439) and specialty0347 ($543) production boundary, save/reopen and customer-preview checks passed. Dealer comparisons remain unresolved."
honeycomb,honeycomb_3_8in_cordless_single_and_3_4in_single,,documented_limited,14,14,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"SmartFit Dual and horizontal hardware passed production price/save/reopen/customer-preview checks. Motor accessories also passed production price/save/reopen/customer-preview checks. Horizontal Day & Night pricing and framed-dual per-shade price basis remain unresolved. Source mounting tables and charging-access rules are deployed; manual mounting production proof passed. Specialty net geometry is deployed; charging0345 ($1,439) and specialty0347 ($543) production boundary, save/reopen and customer-preview checks passed. Dealer comparisons remain unresolved."
honeycomb,honeycomb_1_2in_cordless_double,,documented_limited,14,14,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"SmartFit Dual and horizontal hardware passed production price/save/reopen/customer-preview checks. Motor accessories also passed production price/save/reopen/customer-preview checks. Horizontal Day & Night pricing and framed-dual per-shade price basis remain unresolved. Source mounting tables and charging-access rules are deployed; manual mounting production proof passed. Specialty net geometry is deployed; charging0345 ($1,439) and specialty0347 ($543) production boundary, save/reopen and customer-preview checks passed. Dealer comparisons remain unresolved."
honeycomb,honeycomb_3_4in_cordless_double_and_1_1_4in_single,,documented_limited,14,14,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"SmartFit Dual and horizontal hardware passed production price/save/reopen/customer-preview checks. Motor accessories also passed production price/save/reopen/customer-preview checks. Horizontal Day & Night pricing and framed-dual per-shade price basis remain unresolved. Source mounting tables and charging-access rules are deployed; manual mounting production proof passed. Specialty net geometry is deployed; charging0345 ($1,439) and specialty0347 ($543) production boundary, save/reopen and customer-preview checks passed. Dealer comparisons remain unresolved."
honeycomb,honeycomb_flame_resistant_fabrics,,documented_limited,13,13,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"SmartFit Dual and horizontal hardware passed production price/save/reopen/customer-preview checks. Motor accessories also passed production price/save/reopen/customer-preview checks. Horizontal Day & Night pricing and framed-dual per-shade price basis remain unresolved. Source mounting tables and charging-access rules are deployed; manual mounting production proof passed. Specialty net geometry is deployed; charging0345 ($1,439) and specialty0347 ($543) production boundary, save/reopen and customer-preview checks passed. Dealer comparisons remain unresolved."
honeycomb,honeycomb_3_4in_cordless_single_and_1_1_4in_single_pg1,1,documented_limited,13,13,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"SmartFit Dual and horizontal hardware passed production price/save/reopen/customer-preview checks. Motor accessories also passed production price/save/reopen/customer-preview checks. Horizontal Day & Night pricing and framed-dual per-shade price basis remain unresolved. Source mounting tables and charging-access rules are deployed; manual mounting production proof passed. Specialty net geometry is deployed; charging0345 ($1,439) and specialty0347 ($543) production boundary, save/reopen and customer-preview checks passed. Dealer comparisons remain unresolved."
honeycomb,honeycomb_3_4in_cordless_single_and_1_1_4in_single_pg2,2,documented_limited,13,13,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"SmartFit Dual and horizontal hardware passed production price/save/reopen/customer-preview checks. Motor accessories also passed production price/save/reopen/customer-preview checks. Horizontal Day & Night pricing and framed-dual per-shade price basis remain unresolved. Source mounting tables and charging-access rules are deployed; manual mounting production proof passed. Specialty net geometry is deployed; charging0345 ($1,439) and specialty0347 ($543) production boundary, save/reopen and customer-preview checks passed. Dealer comparisons remain unresolved."
palladian_shelf,palladian_shelf_palladian_shelf_with_product,,restriction_source_incomplete,1,1,norman-retail-guide-2026-09,UNRESOLVED EXCEPTION,"September guide rules now normalized, including 42 coded finishes, minimum width, depth increments, support weight, paired-product eligibility, quantity and default/custom deductions. Linked-product persistence passed in production. Both retail schedules are source-backed; the dealer standalone comparison found a factor mismatch, account applicability is pending and standalone authoritative save still requires a resolved freight schedule."
