ad_name,campaign,ad_set,format,creative_need,primary_text,headline,description,cta,landing_page
FreeConsultation_Static_01,805_VC_WebsiteLeads_Jun2026,VC_Broad_AdvantagePlus,Static 4:5,"Bright installed shutter photo","Thinking about new shutters, shades, or blinds? 805 Shutters offers free in-home consultations across Ventura County with local measuring and professional installation.","Free In-Home Consultation","Custom shutters, shades, and blinds in Ventura County.",Schedule Now,https://www.805shutters.com/free-window-treatment-consultation/?utm_source=facebook&utm_medium=paid_social&utm_campaign=website_leads&utm_content=freeconsultation_static_01&utm_term=vc_broad
LightPrivacy_Static_02,805_VC_WebsiteLeads_Jun2026,VC_Broad_AdvantagePlus,Static 4:5,"Room photo with bright natural light","Get the right balance of privacy, light control, and clean design. Compare shutters, shades, and blinds with a local Ventura County installer.","Window Treatments That Fit","Free local consultation from 805 Shutters.",Schedule Now,https://www.805shutters.com/free-window-treatment-consultation/?utm_source=facebook&utm_medium=paid_social&utm_campaign=website_leads&utm_content=lightprivacy_static_02&utm_term=vc_broad
FamilyOwned_Static_03,805_VC_WebsiteLeads_Jun2026,CoreCities_AdvantagePlus,Static 4:5,"Installer or finished project with subtle local branding","Family-owned and local. 805 Shutters helps homeowners in Camarillo, Thousand Oaks, Ventura, Oxnard, and nearby cities choose custom window treatments with confidence.","Local Window Treatment Experts","Over 30 years of local experience.",Schedule Now,https://www.805shutters.com/free-window-treatment-consultation/?utm_source=facebook&utm_medium=paid_social&utm_campaign=website_leads&utm_content=familyowned_static_03&utm_term=core_cities
PlantationShutters_Static_04,805_VC_WebsiteLeads_Jun2026,HomeImprovement_Suggestions,Static 4:5,"Plantation shutter close-up","Plantation shutters can change the entire room. Get custom measuring, product guidance, and installation from 805 Shutters.","Plantation Shutters","Free in-home consultation.",Schedule Now,https://www.805shutters.com/free-window-treatment-consultation/?utm_source=facebook&utm_medium=paid_social&utm_campaign=website_leads&utm_content=plantationshutters_static_04&utm_term=home_improvement
RollerShades_Static_05,805_VC_WebsiteLeads_Jun2026,HomeImprovement_Suggestions,Static 4:5,"Roller shade on large window","Need shade without losing the look of the room? Ask about roller shades, honeycomb shades, woven wood shades, and motorized options.","Custom Window Shades","Measured and installed locally.",Schedule Now,https://www.805shutters.com/free-window-treatment-consultation/?utm_source=facebook&utm_medium=paid_social&utm_campaign=website_leads&utm_content=rollershades_static_05&utm_term=home_improvement
ProjectProof_Carousel_06,805_VC_Retargeting_Jun2026,WebsiteVisitors_30D,Carousel 1:1,"3-5 recent install photos","Still comparing options? See recent Ventura County shutter, shade, and blind installs, then request a free consultation.","Recent Local Projects","See what 805 Shutters can install in your space.",Learn More,https://www.805shutters.com/recent-projects/?utm_source=facebook&utm_medium=paid_social&utm_campaign=retargeting&utm_content=projectproof_carousel_06&utm_term=website_visitors_30d
ReviewProof_Static_07,805_VC_Retargeting_Jun2026,SocialEngagers_365D,Static 4:5,"Review proof graphic or customer project","Local customers choose 805 Shutters for custom window treatments, clear recommendations, and professional installation. Ready to start?","Ventura County Window Treatments","Request your free consultation.",Schedule Now,https://www.805shutters.com/free-window-treatment-consultation/?utm_source=facebook&utm_medium=paid_social&utm_campaign=retargeting&utm_content=reviewproof_static_07&utm_term=social_engagers_365d
Reels_Hook_08,805_VC_WebsiteLeads_Jun2026,VC_Broad_AdvantagePlus,Video 9:16,"10-15 second room reveal video","Your windows do more than frame the room. They control privacy, light, comfort, and style. 805 Shutters can help you choose the right fit.","Free Consultation","Custom shutters, shades, and blinds.",Schedule Now,https://www.805shutters.com/free-window-treatment-consultation/?utm_source=facebook&utm_medium=paid_social&utm_campaign=website_leads&utm_content=reels_hook_08&utm_term=vc_broad
Commercial_Static_09,805_Commercial_WindowCoverings_Jun2026,Commercial_Local,Static 4:5,"Commercial roller shade or office photo","Need window coverings for an office, storefront, school, or shared workspace? 805 Shutters installs commercial roller shades and custom coverings across Ventura County.","Commercial Window Coverings","Roller shades and coverings for local businesses.",Get Quote,https://www.805shutters.com/commercial-window-coverings/?utm_source=facebook&utm_medium=paid_social&utm_campaign=commercial&utm_content=commercial_static_09&utm_term=commercial_local
InstantForm_Residential_10,805_VC_InstantForms_Jun2026,InstantForm_Broad,Instant form ad,"Strong finished home install","Tell us what you want to update and we will follow up about a free window treatment consultation.","Request A Free Consultation","Shutters, shades, and blinds installed locally.",Sign Up,Meta Instant Form
InstantForm_CoreCities_11,805_VC_InstantForms_Jun2026,InstantForm_CoreCities,Instant form ad,"Camarillo/Thousand Oaks/Ventura project photo","Homeowners in Camarillo, Thousand Oaks, Ventura, and Oxnard: compare custom shutters, shades, and blinds with 805 Shutters.","Custom Window Treatments","Free consultation and local installation.",Sign Up,Meta Instant Form
BeforeAfter_Video_12,805_VC_WebsiteLeads_Jun2026,CoreCities_AdvantagePlus,Video 9:16,"Before/after or photo slideshow","A simple window treatment upgrade can make the room feel finished. Get local recommendations for shutters, shades, and blinds.","Upgrade Your Windows","Free in-home consultation.",Schedule Now,https://www.805shutters.com/free-window-treatment-consultation/?utm_source=facebook&utm_medium=paid_social&utm_campaign=website_leads&utm_content=beforeafter_video_12&utm_term=core_cities
