product_id,program_id,color_code,color_name,collection,cloth_code,source_page,source_price_group,ancillary_price_group,unit,status,exception
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1085,Dim Ecru,Sheer Elegance,AC0402,25,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1085,Dim Ecru,Sheer Elegance,AC0402,25,2,,cover,not offered for this product,Roman Guide p50 excludes this collection/cloth from pillow covers.
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1082,Corn White,Sheer Elegance,AC0401,25,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1082,Corn White,Sheer Elegance,AC0401,25,2,,cover,not offered for this product,Roman Guide p50 excludes this collection/cloth from pillow covers.
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1083,Sea Green,Sheer Elegance,AC0401,25,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1083,Sea Green,Sheer Elegance,AC0401,25,2,,cover,not offered for this product,Roman Guide p50 excludes this collection/cloth from pillow covers.
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1470,Cloud White,Sheer Elegance,AB0665,25,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1470,Cloud White,Sheer Elegance,AB0665,25,2,,cover,not offered for this product,Roman Guide p50 excludes this collection/cloth from pillow covers.
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1657,Floral White,Sheer Elegance,AB0665,25,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1657,Floral White,Sheer Elegance,AB0665,25,2,,cover,not offered for this product,Roman Guide p50 excludes this collection/cloth from pillow covers.
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1599,Cottage Linen,Scarlett,AB0674,25,1,1,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1599,Cottage Linen,Scarlett,AB0674,25,1,,cover,not offered for this product,Roman Guide p50 excludes this collection/cloth from pillow covers.
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1600,Seashell,Scarlett,AB0674,25,1,1,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1600,Seashell,Scarlett,AB0674,25,1,,cover,not offered for this product,Roman Guide p50 excludes this collection/cloth from pillow covers.
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1601,Crema,Scarlett,AB0674,25,1,1,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1601,Crema,Scarlett,AB0674,25,1,,cover,not offered for this product,Roman Guide p50 excludes this collection/cloth from pillow covers.
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F1602,Stone,Scarlett,AB0674,25,1,1,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F1602,Stone,Scarlett,AB0674,25,1,,cover,not offered for this product,Roman Guide p50 excludes this collection/cloth from pillow covers.
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F0255,Greige,Valencia,AA0217,25,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F0255,Greige,Valencia,AA0217,25,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F0145,Rich Wheat,Valencia,AB0202,25,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F0145,Rich Wheat,Valencia,AB0202,25,2,A,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F0247,Dark Slate,Blake,AA0215,25,3,3,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F0247,Dark Slate,Blake,AA0215,25,3,,cover,not offered for this product,Roman Guide p50 excludes this collection/cloth from pillow covers.
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F0228,French Roast,Rochelle,AB0301,25,3,3,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_pillow_covers,norman_roman_pillow_covers_source,F0228,French Roast,Rochelle,AB0301,25,3,B,cover,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified."
norman_roman_fabric_by_yard,norman_roman_fabric_by_yard_source,F0183,Milk,Lakeside,AA0210,25,2,2,yards per cut,documented destination; held,"Current dealer availability, ancillary dealer charges/freight/selling treatment and production save/reopen remain unverified. September PG2 yard rate missing; July $150 not accepted."
