product,kind,id,name,basis,price,scope,source_pages,status,exception
citylights_aluminum,surcharge,metallic_slats_matte_finishes_perforated_slats,"Metallic Slats, Matte Finishes, Perforated Slats",percent,10,unit,[35],UNRESOLVED EXCEPTION,"All 52 current color/slat routes, mounting, wands, hardware and multi-line matching are implemented. Two dealer samples match source retail with observed .30 factor; production save/reopen/customer preview passed at $863.50. Half-inch slat availability, account factor applicability, exhaustive combination coverage and fees remain exceptions."
citylights_aluminum,surcharge,micro_1_2in_slats,"Micro (1/2"") Slats",percent,10,unit,[35],UNRESOLVED EXCEPTION,"All 52 current color/slat routes, mounting, wands, hardware and multi-line matching are implemented. Two dealer samples match source retail with observed .30 factor; production save/reopen/customer preview passed at $863.50. Half-inch slat availability, account factor applicability, exhaustive combination coverage and fees remain exceptions."
citylights_aluminum,surcharge,privacy,Privacy,percent,10,unit,[35],UNRESOLVED EXCEPTION,"All 52 current color/slat routes, mounting, wands, hardware and multi-line matching are implemented. Two dealer samples match source retail with observed .30 factor; production save/reopen/customer preview passed at $863.50. Half-inch slat availability, account factor applicability, exhaustive combination coverage and fees remain exceptions."
citylights_aluminum,surcharge,2in_slats_smartprivacy_included_textured_slats,"2"" Slats (SmartPrivacy Included), Textured Slats",percent,20,unit,[35],UNRESOLVED EXCEPTION,"All 52 current color/slat routes, mounting, wands, hardware and multi-line matching are implemented. Two dealer samples match source retail with observed .30 factor; production save/reopen/customer preview passed at $863.50. Half-inch slat availability, account factor applicability, exhaustive combination coverage and fees remain exceptions."
citylights_aluminum,surcharge,side_mount_bracket_available_in_2in_only,"Side Mount Bracket (available in 2"" only)",flat,25,unit,[35],UNRESOLVED EXCEPTION,"All 52 current color/slat routes, mounting, wands, hardware and multi-line matching are implemented. Two dealer samples match source retail with observed .30 factor; production save/reopen/customer preview passed at $863.50. Half-inch slat availability, account factor applicability, exhaustive combination coverage and fees remain exceptions."
citylights_aluminum,surcharge,shim,Shim,flat,7,unit,[35],UNRESOLVED EXCEPTION,"All 52 current color/slat routes, mounting, wands, hardware and multi-line matching are implemented. Two dealer samples match source retail with observed .30 factor; production save/reopen/customer preview passed at $863.50. Half-inch slat availability, account factor applicability, exhaustive combination coverage and fees remain exceptions."
citylights_aluminum,configuration_field,mount_type,Mount,select,,,,UNRESOLVED EXCEPTION,Field inventoried; complete source/condition/UI/server certification pending.
citylights_aluminum,configuration_field,slat_size,Slat size,select,,,,UNRESOLVED EXCEPTION,Field inventoried; complete source/condition/UI/server certification pending.
citylights_aluminum,configuration_field,slat_finish,Slat finish,select,,,,UNRESOLVED EXCEPTION,Field inventoried; complete source/condition/UI/server certification pending.
citylights_aluminum,configuration_field,privacy,Privacy*,checkbox,,,,UNRESOLVED EXCEPTION,Field inventoried; complete source/condition/UI/server certification pending.
citylights_aluminum,configuration_field,control_side,Control side,select,,,,UNRESOLVED EXCEPTION,Field inventoried; complete source/condition/UI/server certification pending.
citylights_aluminum,configuration_field,lift_system,Lift / control,select,,,,UNRESOLVED EXCEPTION,Field inventoried; complete source/condition/UI/server certification pending.
citylights_aluminum,configuration_field,hard_surface_install,Hard-surface install,checkbox,,,,UNRESOLVED EXCEPTION,Field inventoried; complete source/condition/UI/server certification pending.
citylights_aluminum,configuration_field,ladder_over_15ft,Ladder over 15 ft,checkbox,,,,UNRESOLVED EXCEPTION,Field inventoried; complete source/condition/UI/server certification pending.
citylights_aluminum,configuration_field,requires_takedown,Existing treatment takedown,checkbox,,,,UNRESOLVED EXCEPTION,Field inventoried; complete source/condition/UI/server certification pending.
citylights_aluminum,configuration_field,side_mount_bracket_available_in_2in_only,"Side Mount Bracket (available in 2"" only)",checkbox,,,,UNRESOLVED EXCEPTION,Field inventoried; complete source/condition/UI/server certification pending.
citylights_aluminum,configuration_field,shim,Shim,checkbox,,,,UNRESOLVED EXCEPTION,Field inventoried; complete source/condition/UI/server certification pending.
faux_wood,surcharge,valance_surcharge,Valance Surcharge,flat,,unit,[30],UNRESOLVED EXCEPTION,"Sixteen source finishes/both slat sizes, mounting, wand, hardware, measured cut-outs and single-keystone rules deployed. Common/matching order records and pair production persistence passed. Common/custom valance charge-width basis, multiple-keystone charge basis, standalone valance pricing/availability/freight (destination and0355 proof complete), final inside-width grid boundary and current dealer/production comparison remain."
faux_wood,surcharge,printed_color,Printed Color,percent,20,unit,[30],UNRESOLVED EXCEPTION,"Sixteen source finishes/both slat sizes, mounting, wand, hardware, measured cut-outs and single-keystone rules deployed. Common/matching order records and pair production persistence passed. Common/custom valance charge-width basis, multiple-keystone charge basis, standalone valance pricing/availability/freight (destination and0355 proof complete), final inside-width grid boundary and current dealer/production comparison remain."
faux_wood,surcharge,shim,Shim,flat,7,unit,[30],UNRESOLVED EXCEPTION,"Sixteen source finishes/both slat sizes, mounting, wand, hardware, measured cut-outs and single-keystone rules deployed. Common/matching order records and pair production persistence passed. Common/custom valance charge-width basis, multiple-keystone charge basis, standalone valance pricing/availability/freight (destination and0355 proof complete), final inside-width grid boundary and current dealer/production comparison remain."
faux_wood,surcharge,side_mount_bracket,Side Mount Bracket,flat,23,unit,[30],UNRESOLVED EXCEPTION,"Sixteen source finishes/both slat sizes, mounting, wand, hardware, measured cut-outs and single-keystone rules deployed. Common/matching order records and pair production persistence passed. Common/custom valance charge-width basis, multiple-keystone charge basis, standalone valance pricing/availability/freight (destination and0355 proof complete), final inside-width grid boundary and current dealer/production comparison remain."
faux_wood,surcharge,keystone,Keystone,flat,73,unit,[30],UNRESOLVED EXCEPTION,"Sixteen source finishes/both slat sizes, mounting, wand, hardware, measured cut-outs and single-keystone rules deployed. Common/matching order records and pair production persistence passed. Common/custom valance charge-width basis, multiple-keystone charge basis, standalone valance pricing/availability/freight (destination and0355 proof complete), final inside-width grid boundary and current dealer/production comparison remain."
faux_wood,surcharge,cut_out,Cut-Out,flat,89,side,[30],UNRESOLVED EXCEPTION,"Sixteen source finishes/both slat sizes, mounting, wand, hardware, measured cut-outs and single-keystone rules deployed. Common/matching order records and pair production persistence passed. Common/custom valance charge-width basis, multiple-keystone charge basis, standalone valance pricing/availability/freight (destination and0355 proof complete), final inside-width grid boundary and current dealer/production comparison remain."
faux_wood,configuration_field,mount_type,Mount,select,,,,UNRESOLVED EXCEPTION,Field inventoried; complete source/condition/UI/server certification pending.
faux_wood,configuration_field,slat_size,Slat size,select,,,,UNRESOLVED EXCEPTION,Field inventoried; complete source/condition/UI/server certification pending.
faux_wood,configuration_field,color,Color,select,,,,UNRESOLVED EXCEPTION,Field inventoried; complete source/condition/UI/server certification pending.
faux_wood,configuration_field,valance,Valance,select,,,,UNRESOLVED EXCEPTION,Field inventoried; complete source/condition/UI/server certification pending.
faux_wood,configuration_field,cut_out_sides,Cut-out,select,,,,UNRESOLVED EXCEPTION,Field inventoried; complete source/condition/UI/server certification pending.
faux_wood,configuration_field,control_side,Control side,select,,,,UNRESOLVED EXCEPTION,Field inventoried; complete source/condition/UI/server certification pending.
faux_wood,configuration_field,lift_system,Lift / control,select,,,,UNRESOLVED EXCEPTION,Field inventoried; complete source/condition/UI/server certification pending.
faux_wood,configuration_field,hard_surface_install,Hard-surface install,checkbox,,,,UNRESOLVED EXCEPTION,Field inventoried; complete source/condition/UI/server certification pending.
faux_wood,configuration_field,ladder_over_15ft,Ladder over 15 ft,checkbox,,,,UNRESOLVED EXCEPTION,Field inventoried; complete source/condition/UI/server certification pending.
faux_wood,configuration_field,requires_takedown,Existing treatment takedown,checkbox,,,,UNRESOLVED EXCEPTION,Field inventoried; complete source/condition/UI/server certification pending.
faux_wood,configuration_field,shim,Shim,checkbox,,,,UNRESOLVED EXCEPTION,Field inventoried; complete source/condition/UI/server certification pending.
faux_wood,configuration_field,side_mount_bracket,Side Mount Bracket,checkbox,,,,UNRESOLVED EXCEPTION,Field inventoried; complete source/condition/UI/server certification pending.
faux_wood,configuration_field,keystone,Keystone,checkbox,,,,UNRESOLVED EXCEPTION,Field inventoried; complete source/condition/UI/server certification pending.
