destination,source_product_id,source_color_id,code,color_name,finish,source_page,source_note,pricing_status,new_color_identity
norman_ultimate_faux_valance_only,faux_wood,faux_wood:color:solid-smooth:e008:designer-white:169,E008,Designer White,Solid - Smooth,Ultimate FW Blinds Guide.pdf#page=8,"September 2026 dealer guide pages 8–9: exact color/finish, both 2-inch and 2½-inch slats, and factory-code coordination.",standalone_price_unverified,none; reuse source identity in typed record
norman_smartprivacy_valance_only,smartprivacy_faux,smartprivacy_faux:color:solid-smooth:e008:designer-white:170,E008,Designer White,Solid - Smooth,SmartPrivacy FW Blinds Guide.pdf#page=6,"SmartPrivacy dealer guide October 2024 revision, downloaded September 17, 2026; exact color/finish and factory coordination.",standalone_price_unverified,none; reuse source identity in typed record
norman_ultimate_faux_valance_only,faux_wood,faux_wood:color:solid-smooth:p001:pure-white:171,P001,Pure White,Solid - Smooth,Ultimate FW Blinds Guide.pdf#page=8,"September 2026 dealer guide pages 8–9: exact color/finish, both 2-inch and 2½-inch slats, and factory-code coordination.",standalone_price_unverified,none; reuse source identity in typed record
norman_smartprivacy_valance_only,smartprivacy_faux,smartprivacy_faux:color:solid-smooth:p001:pure-white:172,P001,Pure White,Solid - Smooth,SmartPrivacy FW Blinds Guide.pdf#page=6,"SmartPrivacy dealer guide October 2024 revision, downloaded September 17, 2026; exact color/finish and factory coordination.",standalone_price_unverified,none; reuse source identity in typed record
norman_ultimate_faux_valance_only,faux_wood,faux_wood:color:solid-embossed:p001:pure-white:173,P001,Pure White,Solid - Embossed,Ultimate FW Blinds Guide.pdf#page=8,"September 2026 dealer guide pages 8–9: exact color/finish, both 2-inch and 2½-inch slats, and factory-code coordination.",standalone_price_unverified,none; reuse source identity in typed record
norman_smartprivacy_valance_only,smartprivacy_faux,smartprivacy_faux:color:solid-embossed:p001:pure-white:174,P001,Pure White,Solid - Embossed,SmartPrivacy FW Blinds Guide.pdf#page=6,"SmartPrivacy dealer guide October 2024 revision, downloaded September 17, 2026; exact color/finish and factory coordination.",standalone_price_unverified,none; reuse source identity in typed record
norman_ultimate_faux_valance_only,faux_wood,faux_wood:color:solid-embossed:e008:designer-white:175,E008,Designer White,Solid - Embossed,Ultimate FW Blinds Guide.pdf#page=8,"September 2026 dealer guide pages 8–9: exact color/finish, both 2-inch and 2½-inch slats, and factory-code coordination.",standalone_price_unverified,none; reuse source identity in typed record
norman_ultimate_faux_valance_only,faux_wood,faux_wood:color:solid-smooth:p003:silk-white:177,P003,Silk White,Solid - Smooth,Ultimate FW Blinds Guide.pdf#page=8,"September 2026 dealer guide pages 8–9: exact color/finish, both 2-inch and 2½-inch slats, and factory-code coordination.",standalone_price_unverified,none; reuse source identity in typed record
norman_smartprivacy_valance_only,smartprivacy_faux,smartprivacy_faux:color:solid-smooth:p003:silk-white:178,P003,Silk White,Solid - Smooth,SmartPrivacy FW Blinds Guide.pdf#page=6,"SmartPrivacy dealer guide October 2024 revision, downloaded September 17, 2026; exact color/finish and factory coordination.",standalone_price_unverified,none; reuse source identity in typed record
norman_ultimate_faux_valance_only,faux_wood,faux_wood:color:solid-smooth:p006:pearl:179,P006,Pearl,Solid - Smooth,Ultimate FW Blinds Guide.pdf#page=8,"September 2026 dealer guide pages 8–9: exact color/finish, both 2-inch and 2½-inch slats, and factory-code coordination.",standalone_price_unverified,none; reuse source identity in typed record
