url,location,exact_claim,action
https://www.805shutters.com/,page text,"Custom Shutters, Blinds, Shades & Drapery Ventura County | 805 Shutters Ask about our in-house payment plan Learn more 805 Commercial Calendar About Us 805 SHUTTERS Calendar 805@805shutters.com 805-806-9344 CALL   •   TEXT   •   EMAIL Blinds Faux Wood Premium Wood Vertical Blinds Aluminum Blinds • Shades Roller Shades Honeycomb Shades Room Darkening Layered Shades Roman Shades Natural Shades Bamboo Shades Sheer Shades • Drapery Ripplefold Drapery Pinch Pleat Drapery French Pleat Drapery Grommet Drapery Rod Pocket Drapery Goblet Pleat Drapery Inverted Box Pleat Drapery • Shutters Premium Stained Wood Painted Wood Poly Composite MDF Composite • Exterior Shades Motorized Patio Non Motorized Patio 805 Shutters Book a Consultation Blinds Shades Drapery Shutters Exterior Shades Financing Reviews Gallery About FAQ Contact Official Contact 805 Commercial 805-806-9344 805@805shutters.com Custom Shutters, Shades & Blinds — Proudly Serving Ventura County for 30 Years Book your Free In-home Consultation Recent Work Recent shutters and shades from Ventura County homes Shades Patterned Roller Shades Blinds Tall Window Blinds Shutters Recent Bedroom Plantation Shutters Shutters Bay Window Shutters Shades Living Room Roller Shades Shades Bedroom Roller Shades Shutters Patio Door Plantation Shutters Shutters Recent Arched Window Shutters Shutters Two-Story Arch Shutters Shades Solar Roller Shade Detail Shutters Recent Dining Room Plantation Shutters Shutters Arched Window Shutters Shades Motorized Roller Shades About Us Locally owned and family operated, right here in Ventura County.",unchanged; year/experience unconfirmed
https://www.805shutters.com/,page text,"For more than 30 years, homeowners and businesses across Ventura County have trusted us for custom shutters, shades, and blinds — measured, sold, and installed by a local team, never a national call center.",unchanged; year/experience unconfirmed
https://www.805shutters.com/,JSON-LD[0] $.@graph[0].description,"805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience.",unchanged; year/experience unconfirmed
https://www.805shutters.com/,JSON-LD[0] $.@graph[0].foundingDate,1995,unchanged; year/experience unconfirmed
https://www.805shutters.com/shutters/,JSON-LD[0] $.@graph[0].description,"805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience.",unchanged; year/experience unconfirmed
https://www.805shutters.com/shutters/,JSON-LD[0] $.@graph[0].foundingDate,1995,unchanged; year/experience unconfirmed
https://www.805shutters.com/shades/,JSON-LD[0] $.@graph[0].description,"805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience.",unchanged; year/experience unconfirmed
https://www.805shutters.com/shades/,JSON-LD[0] $.@graph[0].foundingDate,1995,unchanged; year/experience unconfirmed
https://www.805shutters.com/blinds/,JSON-LD[0] $.@graph[0].description,"805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience.",unchanged; year/experience unconfirmed
https://www.805shutters.com/blinds/,JSON-LD[0] $.@graph[0].foundingDate,1995,unchanged; year/experience unconfirmed
https://www.805shutters.com/drapery/,JSON-LD[0] $.@graph[0].description,"805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience.",unchanged; year/experience unconfirmed
https://www.805shutters.com/drapery/,JSON-LD[0] $.@graph[0].foundingDate,1995,unchanged; year/experience unconfirmed
https://www.805shutters.com/exterior-shades/,JSON-LD[0] $.@graph[0].description,"805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience.",unchanged; year/experience unconfirmed
https://www.805shutters.com/exterior-shades/,JSON-LD[0] $.@graph[0].foundingDate,1995,unchanged; year/experience unconfirmed
https://www.805shutters.com/window-treatments/,JSON-LD[0] $.@graph[0].description,"805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience.",unchanged; year/experience unconfirmed
https://www.805shutters.com/window-treatments/,JSON-LD[0] $.@graph[0].foundingDate,1995,unchanged; year/experience unconfirmed
https://www.805shutters.com/window-coverings/,JSON-LD[0] $.@graph[0].description,"805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience.",unchanged; year/experience unconfirmed
https://www.805shutters.com/window-coverings/,JSON-LD[0] $.@graph[0].foundingDate,1995,unchanged; year/experience unconfirmed
https://www.805shutters.com/commercial-window-coverings/,page text,"Book a commercial shade audit Call  805-806-9344 30+ years local experience Ventura County commercial measuring and installation Schools, campuses, and public facilities Office buildings, suites, and tenant improvements Warehouses, flex spaces, and industrial parks Storefronts, retail spaces, lobbies, and showrooms Local Ventura County measuring and installation Commercial services Commercial Window Covering Services Commercial Roller Shades Clean roller-shade systems for small offices, storefronts, warehouse offices, tenant improvements, schools, and shared spaces.",unchanged; year/experience unconfirmed
https://www.805shutters.com/commercial-window-coverings/,JSON-LD[0] $.@graph[0].description,"805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience.",unchanged; year/experience unconfirmed
https://www.805shutters.com/commercial-window-coverings/,JSON-LD[0] $.@graph[0].foundingDate,1995,unchanged; year/experience unconfirmed
https://www.805shutters.com/commercial-roller-shades/,JSON-LD[0] $.@graph[0].description,"805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience.",unchanged; year/experience unconfirmed
https://www.805shutters.com/commercial-roller-shades/,JSON-LD[0] $.@graph[0].foundingDate,1995,unchanged; year/experience unconfirmed
https://www.805shutters.com/about/,page text,"For more than 30 years, homeowners and businesses have trusted us for custom shutters, shades, blinds, commercial roller shades, and window coverings installed with personal service.",unchanged; year/experience unconfirmed
https://www.805shutters.com/about/,JSON-LD[0] $.@graph[0].description,"805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience.",unchanged; year/experience unconfirmed
https://www.805shutters.com/about/,JSON-LD[0] $.@graph[0].foundingDate,1995,unchanged; year/experience unconfirmed
https://www.805shutters.com/contact/,JSON-LD[0] $.@graph[0].description,"805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience.",unchanged; year/experience unconfirmed
https://www.805shutters.com/contact/,JSON-LD[0] $.@graph[0].foundingDate,1995,unchanged; year/experience unconfirmed
https://www.805shutters.com/free-window-treatment-consultation/,page text,Request Consultation Call  805-806-9344 Family-owned Ventura County company 30+ years local experience Yelp reviews Free in-home consultation Start here Tell us what you want to update.,unchanged; year/experience unconfirmed
https://www.805shutters.com/free-window-treatment-consultation/,JSON-LD[0] $.@graph[0].description,"805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience.",unchanged; year/experience unconfirmed
https://www.805shutters.com/free-window-treatment-consultation/,JSON-LD[0] $.@graph[0].foundingDate,1995,unchanged; year/experience unconfirmed
https://www.805shutters.com/financing/,JSON-LD[0] $.@graph[0].description,"805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience.",unchanged; year/experience unconfirmed
https://www.805shutters.com/financing/,JSON-LD[0] $.@graph[0].foundingDate,1995,unchanged; year/experience unconfirmed
https://www.805shutters.com/faq/,JSON-LD[0] $.@graph[0].description,"805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience.",unchanged; year/experience unconfirmed
https://www.805shutters.com/faq/,JSON-LD[0] $.@graph[0].foundingDate,1995,unchanged; year/experience unconfirmed
https://www.805shutters.com/gallery/,JSON-LD[0] $.@graph[0].description,"805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience.",unchanged; year/experience unconfirmed
https://www.805shutters.com/gallery/,JSON-LD[0] $.@graph[0].foundingDate,1995,unchanged; year/experience unconfirmed
https://www.805shutters.com/reviews/,page text,805 Shutters Reviews | Ventura County Window Treatments Ask about our in-house payment plan Learn more 805 Commercial Calendar About Us 805 SHUTTERS Calendar 805@805shutters.com 805-806-9344 CALL   •   TEXT   •   EMAIL Blinds • Shades • Drapery • Shutters • Exterior Shades 805 Shutters Book a Consultation Blinds Shades Drapery Shutters Exterior Shades Financing Reviews Gallery About FAQ Contact Official Contact 805 Commercial 805-806-9344 805@805shutters.com Customer proof 805 Shutters Reviews 805 Shutters is a family-owned Ventura County company that has grown for more than 30 years on referrals and repeat customers.,unchanged; year/experience unconfirmed
https://www.805shutters.com/reviews/,JSON-LD[0] $.@graph[0].description,"805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience.",unchanged; year/experience unconfirmed
https://www.805shutters.com/reviews/,JSON-LD[0] $.@graph[0].foundingDate,1995,unchanged; year/experience unconfirmed
https://www.805shutters.com/recent-projects/,JSON-LD[0] $.@graph[0].description,"805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience.",unchanged; year/experience unconfirmed
https://www.805shutters.com/recent-projects/,JSON-LD[0] $.@graph[0].foundingDate,1995,unchanged; year/experience unconfirmed
https://www.805shutters.com/shutters/camarillo/,page text,"Plantation shutters for Camarillo living rooms and dining rooms Bedroom shutters for privacy and room-darkening support Sliding door shutters where access and durability both matter Specialty shutter planning for arches and non-standard windows Local proof and next step 805 Shutters is a family-owned Ventura County window treatment company with more than 30 years of local measuring, product guidance, ordering, and installation experience.",unchanged; year/experience unconfirmed
https://www.805shutters.com/shutters/camarillo/,JSON-LD[0] $.@graph[0].description,"805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience.",unchanged; year/experience unconfirmed
