page,location,exact_current_phrase,proposed_replacement,status
https://www.805shutters.com/,HTML p,"Proudly serving all of Ventura County, North Los Angeles County, and Santa Clarita with personal service from the first consultation through final installation.",Proudly serving Ventura County and the approved service areas with personal service from the first consultation through final installation.,Proposal only; unchanged
https://www.805shutters.com/,HTML a,Window treatments in Santa Clarita,Window treatments in Ventura County,Proposal only; unchanged
https://www.805shutters.com/,HTML span,"Ventura County, North Los Angeles County, and Santa Clarita","Ventura County and Oxnard, Ventura, Camarillo, Ojai, Simi Valley, Port Hueneme, Thousand Oaks, Fillmore, Moorpark, Oak Park, Westlake Village, Santa Paula, Santa Rosa Valley, and Newbury Park",Proposal only; unchanged
https://www.805shutters.com/,JSON-LD $[0].@graph[0].contactPoint.areaServed[14].name,Santa Clarita,Remove this unapproved area; retain Ventura County + the 14 approved areas (do not add a duplicate option).,Approved structured coverage correction applied in round 2
https://www.805shutters.com/,JSON-LD $[0].@graph[0].areaServed[14].name,Santa Clarita,Remove this unapproved area; retain Ventura County + the 14 approved areas (do not add a duplicate option).,Approved structured coverage correction applied in round 2
https://www.805shutters.com/,JSON-LD $[0].@graph[0].serviceArea.name,"Ventura County, North Los Angeles County, and Santa Clarita","Ventura County and Oxnard, Ventura, Camarillo, Ojai, Simi Valley, Port Hueneme, Thousand Oaks, Fillmore, Moorpark, Oak Park, Westlake Village, Santa Paula, Santa Rosa Valley, and Newbury Park",Approved structured coverage correction applied in round 2
https://www.805shutters.com/,JSON-LD $[0].@graph[0].hasOfferCatalog.itemListElement[0].itemOffered.areaServed,"Ventura County, North Los Angeles County, and Santa Clarita","Ventura County and Oxnard, Ventura, Camarillo, Ojai, Simi Valley, Port Hueneme, Thousand Oaks, Fillmore, Moorpark, Oak Park, Westlake Village, Santa Paula, Santa Rosa Valley, and Newbury Park",Approved structured coverage correction applied in round 2
https://www.805shutters.com/,JSON-LD $[0].@graph[0].hasOfferCatalog.itemListElement[1].itemOffered.areaServed,"Ventura County, North Los Angeles County, and Santa Clarita","Ventura County and Oxnard, Ventura, Camarillo, Ojai, Simi Valley, Port Hueneme, Thousand Oaks, Fillmore, Moorpark, Oak Park, Westlake Village, Santa Paula, Santa Rosa Valley, and Newbury Park",Approved structured coverage correction applied in round 2
https://www.805shutters.com/,JSON-LD $[0].@graph[0].hasOfferCatalog.itemListElement[2].itemOffered.areaServed,"Ventura County, North Los Angeles County, and Santa Clarita","Ventura County and Oxnard, Ventura, Camarillo, Ojai, Simi Valley, Port Hueneme, Thousand Oaks, Fillmore, Moorpark, Oak Park, Westlake Village, Santa Paula, Santa Rosa Valley, and Newbury Park",Approved structured coverage correction applied in round 2
https://www.805shutters.com/,JSON-LD $[0].@graph[0].hasOfferCatalog.itemListElement[3].itemOffered.areaServed,"Ventura County, North Los Angeles County, and Santa Clarita","Ventura County and Oxnard, Ventura, Camarillo, Ojai, Simi Valley, Port Hueneme, Thousand Oaks, Fillmore, Moorpark, Oak Park, Westlake Village, Santa Paula, Santa Rosa Valley, and Newbury Park",Approved structured coverage correction applied in round 2
