width,height,color,customSkus,documentedExactBoundaryDonors,dealerMerchandiseCost,customerBaseRetail,sourceEffectiveDate,source,result,liveStatus,exception
17.0,36,White,CAMX1736W,AMX1736WH,21.48,64.44,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
17.0,36,Alabaster,,,21.48,64.44,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",color_ordering_sku_missing,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
23.0,36,White,CAMX2336W,AMX2336WH,23.8,71.4,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
23.0,36,Alabaster,CAMX2336A,AMX2336AL,23.8,71.4,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
27.0,36,White,CAMX2736W,AMX2736WH,26.72,80.16,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
27.0,36,Alabaster,CAMX2736A,,26.72,80.16,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",exact_boundary_stock_donor_missing,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
30.0,36,White,CAMX3036W,AMX3036WH,28.91,86.73,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
30.0,36,Alabaster,,,28.91,86.73,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",color_ordering_sku_missing,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
35.0,36,White,CAMX3536W,AMX3536WH,24.89,74.67,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
35.0,36,Alabaster,,,24.89,74.67,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",color_ordering_sku_missing,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
39.0,36,White,CAMX3936W,AMX3936WH,26.94,80.82,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
39.0,36,Alabaster,,,26.94,80.82,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",color_ordering_sku_missing,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
43.0,36,White,CAMX4336W,AMX4336WH,28.97,86.91,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
43.0,36,Alabaster,,,28.97,86.91,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",color_ordering_sku_missing,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
48.0,36,White,CAMX4836W,AMX4836WH,31.53,94.59,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
48.0,36,Alabaster,CAMX4836A,AMX4836AL,31.53,94.59,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
54.0,36,White,CAMX5436W,AMX5436WH,34.59,103.77,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
54.0,36,Alabaster,,,34.59,103.77,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",color_ordering_sku_missing,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
59.0,36,White,CAMX5936W,AMX5936WH,37.16,111.48,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
59.0,36,Alabaster,CAMX5936A,,37.16,111.48,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",exact_boundary_stock_donor_missing,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
63.0,36,White,CAMX6336W,AMX6336WH,39.19,117.57,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
63.0,36,Alabaster,,,39.19,117.57,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",color_ordering_sku_missing,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
69.0,36,White,CAMX6936W,AMX6936WH,42.26,126.78,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
69.0,36,Alabaster,,,42.26,126.78,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",color_ordering_sku_missing,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
72.0,36,White,CAMX7236W,AMX7236WH,43.79,131.37,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
72.0,36,Alabaster,CAMX7236A,,43.79,131.37,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",exact_boundary_stock_donor_missing,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
78.0,36,White,CAMX7836W,AMX7836WH,77.45,232.35,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
78.0,36,Alabaster,,,77.45,232.35,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",color_ordering_sku_missing,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
82.5,36,White,CAMX82536W,AMX82536WH,81.48,244.44,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
82.5,36,Alabaster,,,81.48,244.44,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",color_ordering_sku_missing,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
89.0,36,White,CAMX8936W,AMX8936WH,87.25,261.75,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
89.0,36,Alabaster,,,87.25,261.75,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",color_ordering_sku_missing,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
95.0,36,White,CAMX9536W,AMX9536WH,92.59,277.77,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
95.0,36,Alabaster,,,92.59,277.77,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",color_ordering_sku_missing,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
17.0,48,White,CAMX1748W,AMX1748WH,23.56,70.68,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",source_supported_exact_boundary,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
17.0,48,Alabaster,,,23.56,70.68,,"Lotus.pdf p20-24,97; Digital Catalog V1.1.25 p12-13,34",color_ordering_sku_missing,unresolved_exception,Exact boundary geometry/source only; current account price authority and all-in dealer cost remain incomplete; production evidence is representative
