program_id,shape_code,shape_name,dealer_guide_availability,crm_product_id,crm_saved_shape_destination,source_document,absolute_pdf_pages,effective_date,result_status,exact_remaining_exception,individual_live_proof
woodlore_plus,YS01,Half Round Sunburst,documented,norman_shutters,norman_shutter_panels_v1.specialty.shapeCode=YS01,One PDF-Woodlore Plus.pdf,124-139,pinned September audit binder; exact section effective date not inferred,unresolved exception,Final specialty geometry/template acceptance/hardware and current 805 account rates/surcharges remain unresolved; source-compatible selection rules only,not individually live verified
woodlore_plus,YS02,Left Quarter Round Sunburst,documented,norman_shutters,norman_shutter_panels_v1.specialty.shapeCode=YS02,One PDF-Woodlore Plus.pdf,124-139,pinned September audit binder; exact section effective date not inferred,unresolved exception,Final specialty geometry/template acceptance/hardware and current 805 account rates/surcharges remain unresolved; source-compatible selection rules only,not individually live verified
woodlore_plus,YS03,Eyebrow Sunburst,documented,norman_shutters,norman_shutter_panels_v1.specialty.shapeCode=YS03,One PDF-Woodlore Plus.pdf,124-139,pinned September audit binder; exact section effective date not inferred,unresolved exception,Final specialty geometry/template acceptance/hardware and current 805 account rates/surcharges remain unresolved; source-compatible selection rules only,not individually live verified
woodlore_plus,YS04,Elongated Eyebrow Sunburst,documented,norman_shutters,norman_shutter_panels_v1.specialty.shapeCode=YS04,One PDF-Woodlore Plus.pdf,124-139,pinned September audit binder; exact section effective date not inferred,unresolved exception,Final specialty geometry/template acceptance/hardware and current 805 account rates/surcharges remain unresolved; source-compatible selection rules only,not individually live verified
woodlore_plus,YS05,Louvered Arch,documented,norman_shutters,norman_shutter_panels_v1.specialty.shapeCode=YS05,One PDF-Woodlore Plus.pdf,124-139,pinned September audit binder; exact section effective date not inferred,unresolved exception,Final specialty geometry/template acceptance/hardware and current 805 account rates/surcharges remain unresolved; source-compatible selection rules only,not individually live verified
woodlore_plus,YS06,Right Quarter Round Sunburst,documented,norman_shutters,norman_shutter_panels_v1.specialty.shapeCode=YS06,One PDF-Woodlore Plus.pdf,124-139,pinned September audit binder; exact section effective date not inferred,unresolved exception,Final specialty geometry/template acceptance/hardware and current 805 account rates/surcharges remain unresolved; source-compatible selection rules only,not individually live verified
woodlore_plus,YS09,Sunburst on Top with Divider Strip,documented,norman_shutters,norman_shutter_panels_v1.specialty.shapeCode=YS09,One PDF-Woodlore Plus.pdf,124-139,pinned September audit binder; exact section effective date not inferred,unresolved exception,Final specialty geometry/template acceptance/hardware and current 805 account rates/surcharges remain unresolved; source-compatible selection rules only,not individually live verified
woodlore_plus,YS10,Sunburst on Top with Continuous Frame,documented,norman_shutters,norman_shutter_panels_v1.specialty.shapeCode=YS10,One PDF-Woodlore Plus.pdf,124-139,pinned September audit binder; exact section effective date not inferred,unresolved exception,Final specialty geometry/template acceptance/hardware and current 805 account rates/surcharges remain unresolved; source-compatible selection rules only,not individually live verified
woodlore_plus,YS11,Hexagon with Horizontal Louvers,documented,norman_shutters,norman_shutter_panels_v1.specialty.shapeCode=YS11,One PDF-Woodlore Plus.pdf,124-139,pinned September audit binder; exact section effective date not inferred,unresolved exception,Final specialty geometry/template acceptance/hardware and current 805 account rates/surcharges remain unresolved; source-compatible selection rules only,not individually live verified
woodlore_plus,YS12,Octagon with Horizontal Louvers,documented,norman_shutters,norman_shutter_panels_v1.specialty.shapeCode=YS12,One PDF-Woodlore Plus.pdf,124-139,pinned September audit binder; exact section effective date not inferred,unresolved exception,Final specialty geometry/template acceptance/hardware and current 805 account rates/surcharges remain unresolved; source-compatible selection rules only,not individually live verified
woodlore_plus,YS13,Circle with Horizontal Louvers,documented,norman_shutters,norman_shutter_panels_v1.specialty.shapeCode=YS13,One PDF-Woodlore Plus.pdf,124-139,pinned September audit binder; exact section effective date not inferred,unresolved exception,Final specialty geometry/template acceptance/hardware and current 805 account rates/surcharges remain unresolved; source-compatible selection rules only,not individually live verified
