portal,account_type,priority,source_url,next_action,status,owner,notes
SAM.gov,Federal procurement,Medium,https://sam.gov/contracting,"Register/check entity status; save searches for blinds, shades, window coverings, roller shades, Division 12, NAICS 238390 and related terms",Not started,,Federal work is slower; use for market awareness and occasional facilities opportunities
Cal eProcure,California state procurement,High,https://www.dgs.ca.gov/PD/,"Register bidder profile; add relevant UNSPSC/product-service codes; enable CSCR bid notifications; review SB/DVBE options if applicable",Not started,,DGS says Cal eProcure is the state portal for bid opportunities and registration
VCCCD Purchasing,College district procurement,High,https://www.vcccd.edu/departments/purchasing,"Submit bidder registration; check current open bids; save purchasing contact info",Not started,,Local college district with bidder registration and open bid process
City of Ventura Bid Opportunities,City procurement,High,https://www.cityofventura.ca.gov/140/Bid-Opportunities,"Check purchasing and CIP bid pages weekly; identify vendor registration path",Not started,,Good local government target for facilities and public works-related scopes
Conejo Valley Unified Purchasing,School district procurement,High,https://www.conejousd.org/departments-services/business-services/purchasing,"Open CVUSD Euna Procurement Portal; register or monitor current bids/RFPs",Not started,,School facilities fit shade/blind replacement and safety-conscious upgrades
Santa Barbara County Purchasing,County procurement,Medium,https://www.countyofsb.org/1621/Purchasing,"Review bid opportunities and vendor connection pages; register if appropriate",Not started,,Nearby market for county facilities and vendor outreach
BuildingConnected,GC bid network,High,https://construction.autodesk.com/products/buildingconnected,"Create/complete subcontractor profile; request invitations from local GCs; track bid invites",Not started,,Useful for GC/TI bid invites and bid-board organization
PlanHub,Construction bidding platform,Medium,https://planhub.com/,"Create free profile/trial if available; search local commercial projects; test lead quality before paid commitment",Not started,,Evaluate ROI before committing to paid plan
Dodge Construction Network,Project lead database,Medium,https://www.construction.com/,"Review pricing/demo; search local tenant improvement and commercial renovation projects",Not started,,Use if outbound list quality is weak or larger commercial pipeline is needed
Local GC bid lists,Direct relationship,High,Manual outreach,"Ask every GC estimator for bid-list/prequal process and Division 12 contact",Not started,,This should outperform passive portal checking if done consistently
